jeudi 12 décembre 2024	17:05:14	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
159	861,000000E+0	1,383000E+3	0,000000E+0	0,000000E+0
160	861,000000E+0	1,385000E+3	0,000000E+0	0,000000E+0
161	860,000000E+0	1,387000E+3	0,000000E+0	0,000000E+0
162	859,000000E+0	1,388000E+3	0,000000E+0	0,000000E+0
163	859,000000E+0	1,389000E+3	0,000000E+0	0,000000E+0
164	859,000000E+0	1,391000E+3	0,000000E+0	0,000000E+0
165	858,000000E+0	1,392000E+3	0,000000E+0	0,000000E+0
166	857,000000E+0	1,394000E+3	0,000000E+0	0,000000E+0
167	856,000000E+0	1,395000E+3	0,000000E+0	0,000000E+0
168	856,000000E+0	1,395000E+3	0,000000E+0	0,000000E+0
169	855,000000E+0	1,397000E+3	0,000000E+0	0,000000E+0
170	854,000000E+0	1,399000E+3	0,000000E+0	0,000000E+0
171	854,000000E+0	1,400000E+3	0,000000E+0	0,000000E+0
172	853,000000E+0	1,402000E+3	0,000000E+0	0,000000E+0
173	853,000000E+0	1,402000E+3	0,000000E+0	0,000000E+0
174	852,000000E+0	1,404000E+3	0,000000E+0	0,000000E+0
175	851,000000E+0	1,406000E+3	0,000000E+0	0,000000E+0
176	851,000000E+0	1,407000E+3	0,000000E+0	0,000000E+0
177	850,000000E+0	1,408000E+3	0,000000E+0	0,000000E+0
178	849,000000E+0	1,410000E+3	0,000000E+0	0,000000E+0
179	849,000000E+0	1,410000E+3	0,000000E+0	0,000000E+0
180	849,000000E+0	1,412000E+3	0,000000E+0	0,000000E+0
181	848,000000E+0	1,413000E+3	0,000000E+0	0,000000E+0
182	847,000000E+0	1,414000E+3	0,000000E+0	0,000000E+0
183	847,000000E+0	1,415000E+3	0,000000E+0	0,000000E+0
184	847,000000E+0	1,416000E+3	0,000000E+0	0,000000E+0
185	846,000000E+0	1,417000E+3	0,000000E+0	0,000000E+0
186	846,000000E+0	1,418000E+3	0,000000E+0	0,000000E+0
187	845,000000E+0	1,420000E+3	0,000000E+0	0,000000E+0
