vendredi 13 décembre 2024	11:04:04	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
135	65,534000E+3	13,000000E+0	14,000000E+0	65,523000E+3
136	65,533000E+3	9,000000E+0	13,000000E+0	65,527000E+3
137	65,532000E+3	13,000000E+0	14,000000E+0	65,524000E+3
138	65,533000E+3	10,000000E+0	12,000000E+0	65,527000E+3
139	65,532000E+3	9,000000E+0	12,000000E+0	65,523000E+3
140	65,533000E+3	9,000000E+0	11,000000E+0	65,528000E+3
141	65,530000E+3	11,000000E+0	13,000000E+0	65,525000E+3
142	65,534000E+3	11,000000E+0	13,000000E+0	65,529000E+3
143	65,534000E+3	13,000000E+0	15,000000E+0	65,526000E+3
144	65,534000E+3	9,000000E+0	14,000000E+0	65,527000E+3
145	65,532000E+3	12,000000E+0	13,000000E+0	65,525000E+3
146	65,531000E+3	10,000000E+0	11,000000E+0	65,527000E+3
147	65,529000E+3	11,000000E+0	12,000000E+0	65,524000E+3
148	65,531000E+3	9,000000E+0	12,000000E+0	65,527000E+3
149	65,531000E+3	12,000000E+0	13,000000E+0	65,524000E+3
150	65,530000E+3	11,000000E+0	13,000000E+0	65,527000E+3
151	65,531000E+3	12,000000E+0	16,000000E+0	65,526000E+3
152	65,530000E+3	11,000000E+0	12,000000E+0	65,527000E+3
153	65,530000E+3	11,000000E+0	13,000000E+0	65,523000E+3
154	65,531000E+3	11,000000E+0	13,000000E+0	65,526000E+3
155	65,532000E+3	12,000000E+0	14,000000E+0	65,523000E+3
156	65,533000E+3	10,000000E+0	12,000000E+0	65,526000E+3
157	65,531000E+3	12,000000E+0	14,000000E+0	65,524000E+3
158	65,532000E+3	11,000000E+0	13,000000E+0	65,526000E+3
159	65,530000E+3	13,000000E+0	13,000000E+0	65,524000E+3
160	65,530000E+3	10,000000E+0	13,000000E+0	65,526000E+3
161	65,530000E+3	13,000000E+0	14,000000E+0	65,524000E+3
162	65,531000E+3	11,000000E+0	12,000000E+0	65,526000E+3
163	65,530000E+3	12,000000E+0	13,000000E+0	65,523000E+3
164	65,530000E+3	11,000000E+0	13,000000E+0	65,527000E+3
165	65,530000E+3	12,000000E+0	13,000000E+0	65,523000E+3
166	65,530000E+3	11,000000E+0	14,000000E+0	65,524000E+3
167	65,531000E+3	13,000000E+0	15,000000E+0	65,523000E+3
168	65,532000E+3	11,000000E+0	14,000000E+0	65,523000E+3
169	65,529000E+3	13,000000E+0	16,000000E+0	65,521000E+3
170	65,531000E+3	13,000000E+0	12,000000E+0	65,524000E+3
171	65,527000E+3	14,000000E+0	14,000000E+0	65,519000E+3
172	65,530000E+3	11,000000E+0	13,000000E+0	65,522000E+3
173	65,529000E+3	14,000000E+0	14,000000E+0	65,522000E+3
174	65,530000E+3	11,000000E+0	14,000000E+0	65,523000E+3
175	65,530000E+3	14,000000E+0	16,000000E+0	65,519000E+3
176	65,530000E+3	10,000000E+0	16,000000E+0	65,522000E+3
177	65,528000E+3	13,000000E+0	15,000000E+0	65,522000E+3
178	65,529000E+3	11,000000E+0	13,000000E+0	65,523000E+3
179	65,527000E+3	14,000000E+0	16,000000E+0	65,521000E+3
180	65,529000E+3	11,000000E+0	14,000000E+0	65,523000E+3
181	65,528000E+3	13,000000E+0	14,000000E+0	65,521000E+3
182	65,530000E+3	11,000000E+0	14,000000E+0	65,522000E+3
183	65,528000E+3	11,000000E+0	16,000000E+0	65,521000E+3
184	65,529000E+3	12,000000E+0	14,000000E+0	65,523000E+3
185	65,528000E+3	14,000000E+0	15,000000E+0	65,523000E+3
186	65,528000E+3	11,000000E+0	14,000000E+0	65,522000E+3
187	65,526000E+3	13,000000E+0	17,000000E+0	65,519000E+3
188	65,527000E+3	11,000000E+0	15,000000E+0	65,521000E+3
189	65,525000E+3	13,000000E+0	16,000000E+0	65,519000E+3
190	65,526000E+3	12,000000E+0	15,000000E+0	65,523000E+3
191	65,526000E+3	13,000000E+0	17,000000E+0	65,519000E+3
192	65,528000E+3	12,000000E+0	15,000000E+0	65,522000E+3
193	65,527000E+3	17,000000E+0	18,000000E+0	65,523000E+3
194	65,527000E+3	12,000000E+0	16,000000E+0	65,523000E+3
195	65,527000E+3	15,000000E+0	17,000000E+0	65,523000E+3
196	65,528000E+3	11,000000E+0	15,000000E+0	65,523000E+3
197	65,528000E+3	13,000000E+0	18,000000E+0	65,522000E+3
198	65,527000E+3	12,000000E+0	15,000000E+0	65,524000E+3
199	65,527000E+3	14,000000E+0	16,000000E+0	65,524000E+3
200	65,528000E+3	12,000000E+0	14,000000E+0	65,524000E+3
201	65,528000E+3	15,000000E+0	17,000000E+0	65,522000E+3
202	65,528000E+3	12,000000E+0	16,000000E+0	65,523000E+3
203	65,527000E+3	13,000000E+0	18,000000E+0	65,521000E+3
204	65,527000E+3	11,000000E+0	18,000000E+0	65,524000E+3
205	65,528000E+3	12,000000E+0	19,000000E+0	65,522000E+3
206	65,528000E+3	13,000000E+0	16,000000E+0	65,525000E+3
207	65,527000E+3	14,000000E+0	19,000000E+0	65,523000E+3
208	65,528000E+3	14,000000E+0	18,000000E+0	65,524000E+3
209	65,528000E+3	17,000000E+0	18,000000E+0	65,523000E+3
210	65,528000E+3	13,000000E+0	18,000000E+0	65,525000E+3
211	65,527000E+3	15,000000E+0	17,000000E+0	65,520000E+3
212	65,528000E+3	12,000000E+0	16,000000E+0	65,524000E+3
213	65,527000E+3	14,000000E+0	15,000000E+0	65,525000E+3
214	65,527000E+3	13,000000E+0	15,000000E+0	65,523000E+3
215	65,528000E+3	15,000000E+0	16,000000E+0	65,521000E+3
216	65,529000E+3	15,000000E+0	16,000000E+0	65,524000E+3
217	65,527000E+3	15,000000E+0	17,000000E+0	65,523000E+3
218	65,527000E+3	14,000000E+0	17,000000E+0	65,523000E+3
219	65,528000E+3	16,000000E+0	18,000000E+0	65,522000E+3
220	65,527000E+3	14,000000E+0	18,000000E+0	65,522000E+3
221	65,527000E+3	16,000000E+0	19,000000E+0	65,524000E+3
222	65,528000E+3	13,000000E+0	18,000000E+0	65,524000E+3
223	65,527000E+3	15,000000E+0	18,000000E+0	65,524000E+3
224	65,527000E+3	15,000000E+0	19,000000E+0	65,525000E+3
225	65,527000E+3	17,000000E+0	19,000000E+0	65,521000E+3
226	65,528000E+3	16,000000E+0	19,000000E+0	65,524000E+3
227	65,526000E+3	18,000000E+0	19,000000E+0	65,523000E+3
228	65,527000E+3	17,000000E+0	19,000000E+0	65,522000E+3
229	65,526000E+3	17,000000E+0	20,000000E+0	65,520000E+3
230	65,527000E+3	14,000000E+0	19,000000E+0	65,521000E+3
231	65,528000E+3	16,000000E+0	19,000000E+0	65,521000E+3
232	65,527000E+3	16,000000E+0	20,000000E+0	65,522000E+3
233	65,526000E+3	14,000000E+0	19,000000E+0	65,523000E+3
234	65,526000E+3	14,000000E+0	19,000000E+0	65,523000E+3
235	65,526000E+3	14,000000E+0	20,000000E+0	65,522000E+3
236	65,527000E+3	15,000000E+0	19,000000E+0	65,523000E+3
237	65,527000E+3	18,000000E+0	19,000000E+0	65,522000E+3
238	65,528000E+3	16,000000E+0	20,000000E+0	65,522000E+3
239	65,526000E+3	15,000000E+0	19,000000E+0	65,521000E+3
240	65,526000E+3	15,000000E+0	19,000000E+0	65,521000E+3
241	65,526000E+3	16,000000E+0	19,000000E+0	65,521000E+3
242	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
243	65,527000E+3	16,000000E+0	19,000000E+0	65,520000E+3
244	65,527000E+3	16,000000E+0	19,000000E+0	65,520000E+3
245	65,527000E+3	17,000000E+0	20,000000E+0	65,520000E+3
246	65,527000E+3	17,000000E+0	20,000000E+0	65,520000E+3
247	65,527000E+3	20,000000E+0	19,000000E+0	65,520000E+3
248	65,527000E+3	20,000000E+0	20,000000E+0	65,521000E+3
249	65,527000E+3	19,000000E+0	20,000000E+0	65,521000E+3
250	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
251	65,527000E+3	15,000000E+0	19,000000E+0	65,521000E+3
252	65,527000E+3	16,000000E+0	20,000000E+0	65,522000E+3
253	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
254	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
255	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
256	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
257	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
258	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
259	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
260	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
261	65,527000E+3	16,000000E+0	19,000000E+0	65,522000E+3
262	65,527000E+3	16,000000E+0	19,000000E+0	65,521000E+3
