jeudi 12 décembre 2024	17:09:28	Sampling Period : 50  ms		Experiment

t	Alpha1L		Alpha2L		Alpha1R		Alpha2R		T_Alpha1L	T_Alpha2L	T_Alpha1R	T_Alpha2R
125	1,153000E+3	725,000000E+0	0,000000E+0	0,000000E+0
126	1,154000E+3	724,000000E+0	0,000000E+0	0,000000E+0
127	1,155000E+3	722,000000E+0	0,000000E+0	0,000000E+0
128	1,156000E+3	719,000000E+0	0,000000E+0	0,000000E+0
129	1,157000E+3	718,000000E+0	0,000000E+0	0,000000E+0
130	1,158000E+3	716,000000E+0	0,000000E+0	0,000000E+0
131	1,159000E+3	715,000000E+0	0,000000E+0	0,000000E+0
132	1,160000E+3	712,000000E+0	0,000000E+0	0,000000E+0
133	1,160000E+3	711,000000E+0	0,000000E+0	0,000000E+0
134	1,161000E+3	709,000000E+0	0,000000E+0	0,000000E+0
135	1,162000E+3	707,000000E+0	0,000000E+0	0,000000E+0
136	1,163000E+3	705,000000E+0	0,000000E+0	0,000000E+0
137	1,164000E+3	703,000000E+0	0,000000E+0	0,000000E+0
138	1,165000E+3	702,000000E+0	0,000000E+0	0,000000E+0
139	1,165000E+3	699,000000E+0	0,000000E+0	0,000000E+0
140	1,166000E+3	697,000000E+0	0,000000E+0	0,000000E+0
141	1,167000E+3	696,000000E+0	0,000000E+0	0,000000E+0
142	1,168000E+3	694,000000E+0	0,000000E+0	0,000000E+0
143	1,169000E+3	693,000000E+0	0,000000E+0	0,000000E+0
144	1,170000E+3	691,000000E+0	0,000000E+0	0,000000E+0
145	1,170000E+3	689,000000E+0	0,000000E+0	0,000000E+0
146	1,171000E+3	688,000000E+0	0,000000E+0	0,000000E+0
147	1,172000E+3	686,000000E+0	0,000000E+0	0,000000E+0
148	1,172000E+3	684,000000E+0	0,000000E+0	0,000000E+0
149	1,174000E+3	682,000000E+0	0,000000E+0	0,000000E+0
150	1,174000E+3	681,000000E+0	0,000000E+0	0,000000E+0
151	1,175000E+3	679,000000E+0	0,000000E+0	0,000000E+0
152	1,175000E+3	678,000000E+0	0,000000E+0	0,000000E+0
